ITEM_ID,CATAGORIAL
1,KOREAN
2,KOREAN
3,KOREAN
4,KOREAN
5,KOREAN
6,KOREAN
7,KOREAN
8,KOREAN
9,KOREAN
10,KOREAN
11,KOREAN
12,KOREAN
13,KOREAN
14,KOREAN
15,KOREAN
16,KOREAN
17,KOREAN
18,KOREAN
19,KOREAN
20,KOREAN
21,CHINESSE
22,CHINESSE
23,CHINESSE
24,CHINESSE
25,CHINESSE
26,CHINESSE
27,CHINESSE
28,CHINESSE
29,CHINESSE
30,CHINESSE
31,CHINESSE
32,CHINESSE
33,CHINESSE
34,CHINESSE
35,CHINESSE
36,CHINESSE
37,CHINESSE
38,CHINESSE
39,CHINESSE
40,CHINESSE
41,WESTERN
42,WESTERN
43,WESTERN
44,WESTERN
45,WESTERN
46,WESTERN
47,WESTERN
48,WESTERN
49,WESTERN
50,WESTERN
51,WESTERN
52,WESTERN
53,WESTERN
54,WESTERN
55,WESTERN
56,WESTERN
57,WESTERN
58,WESTERN
59,WESTERN
60,WESTERN
61,JAPANESE
62,JAPANESE
63,JAPANESE
64,JAPANESE
65,JAPANESE
66,JAPANESE
67,JAPANESE
68,JAPANESE
69,JAPANESE
70,JAPANESE
71,JAPANESE
72,JAPANESE
73,JAPANESE
74,JAPANESE
75,JAPANESE
76,JAPANESE
77,JAPANESE
78,JAPANESE
79,JAPANESE
80,JAPANESE
81,ETC
82,ETC
83,ETC
84,ETC
85,ETC
86,ETC
87,ETC
88,ETC
89,ETC
90,ETC
91,ETC
92,ETC
93,ETC
94,ETC
95,ETC
96,ETC
97,ETC
98,ETC
99,ETC
100,ETC
